,country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population
83,Vietnam,153,0,,20,0,5,3,133,2
84,Burkina Faso,152,4,,10,0,6,0,138,7
85,Cyprus,146,3,,4,0,14,3,139,121
86,Faeroe Islands,140,0,,47,0,8,0,93,"2,865"
87,Réunion,135,0,,1,0,24,0,134,151
88,Malta,134,0,,2,0,5,1,132,303
89,Ghana,132,4,,1,0,64,0,127,4
90,Azerbaijan,122,3,,15,1,29,6,104,12
91,Brunei,114,0,,5,0,5,1,109,261
92,Kazakhstan,111,1,,2,1,30,0,108,6
93,Oman,109,0,,23,0,10,0,86,21
94,Sri Lanka,106,0,,7,0,4,3,99,5
95,Venezuela,106,0,,15,0,0,2,91,4
96,Senegal,105,0,,9,0,6,0,96,6
97,Cambodia,96,0,,10,0,0,1,86,6
98,Afghanistan,94,2,,2,0,10,0,90,2
99,Belarus,86,0,,29,0,0,2,57,9
100,Palestine,84,1,,17,0,13,0,66,16
101,Mauritius,81,2,,0,0,33,1,79,64
102,Ivory Coast,80,0,,3,0,0,0,77,3
103,Georgia,79,0,,11,0,4,1,68,20
104,Cameroon,75,1,,2,0,0,0,72,3
105,Guadeloupe,73,1,,0,0,0,4,72,182
106,Montenegro,69,1,,0,0,16,1,68,110
107,Cuba,67,1,,1,0,10,2,65,6
108,Martinique,66,1,,0,0,0,7,65,176
109,Uzbekistan,65,0,,0,0,5,4,65,2
110,Trinidad and Tobago,61,1,,0,0,1,0,60,44
111,Honduras,52,1,,0,1,0,0,51,5
112,DRC,51,3,,0,1,3,0,48,0.6
113,Nigeria,51,1,,2,0,0,0,48,0.2
114,Liechtenstein,51,0,,0,0,0,0,51,"1,338"
115,Channel Islands,46,1,,0,1,0,0,45,265
116,Bangladesh,44,5,,11,0,5,1,28,0.3
117,Kyrgyzstan,44,0,,0,0,0,0,44,7
118,Paraguay,41,3,,0,0,4,1,38,6
119,Rwanda,41,0,,0,0,0,0,41,3
120,Bolivia,40,0,,0,0,8,0,40,3
121,Mayotte,36,0,,0,0,0,0,36,132
122,Kenya,31,1,,1,1,3,0,29,0.6
123,Macao,31,0,,10,0,0,0,21,48
124,Monaco,31,0,,1,0,0,0,30,790
125,French Guiana,28,0,,6,0,0,0,22,94
126,Jamaica,26,1,,2,0,0,0,23,9
127,Gibraltar,26,0,,5,0,0,0,21,772
128,French Polynesia,25,0,,0,0,0,0,25,89
129,Isle of Man,25,0,,0,0,2,0,25,294
130,Guatemala,24,1,,4,0,0,0,19,1
131,Madagascar,23,0,,0,0,4,0,23,0.8
132,Togo,23,0,,1,0,0,0,22,3
133,Aruba,19,0,,1,0,0,0,18,178
134,Barbados,18,0,,0,0,0,0,18,63
135,Zambia,16,0,,0,0,4,0,16,0.9
136,New Caledonia,14,0,,0,0,0,0,14,49
137,Uganda,14,0,,0,0,0,0,14,0.3
138,El Salvador,13,0,,0,0,4,0,13,2
139,Maldives,13,0,,8,0,0,0,5,24
140,Tanzania,13,0,,0,0,0,0,13,0.2
141,Ethiopia,12,0,,0,0,0,0,12,0.1
142,Djibouti,11,0,,0,0,0,0,11,11
143,Dominica,11,0,,0,0,0,0,11,153
144,Mongolia,11,0,,0,0,1,0,11,3
145,Saint Martin,11,0,,0,0,0,0,11,284
146,Equatorial Guinea,9,0,,0,0,0,0,9,6
147,Cayman Islands,8,1,,0,0,0,0,7,122
148,Haiti,8,0,,0,0,0,0,8,0.7
149,Namibia,8,0,,2,0,1,0,6,3
150,Suriname,8,0,,0,0,0,0,8,14
151,Gabon,7,1,,0,0,1,0,6,3
152,Niger,7,1,,0,0,0,0,6,0.3
153,Bermuda,7,0,,2,0,0,0,5,112
154,Mozambique,7,0,,0,0,2,0,7,0.2
155,Seychelles,7,0,,0,0,0,0,7,71
156,Curaçao,6,1,,2,0,0,0,3,37
157,Benin,6,0,,0,0,0,0,6,0.5
158,Greenland,6,0,,2,0,0,0,4,106
159,Laos,6,0,,0,0,3,0,6,0.8
160,Guyana,5,1,,0,0,0,0,4,6
161,Bahamas,5,0,,1,0,0,0,4,13
162,Fiji,5,0,,0,0,0,0,5,6
163,Syria,5,0,,0,0,0,0,5,0.3
164,Cabo Verde,4,1,,0,0,0,0,3,7
165,Congo,4,0,,0,0,0,0,4,0.7
166,Eritrea,4,0,,0,0,0,0,4,1
167,Guinea,4,0,,0,0,0,0,4,0.3
168,Vatican City,4,0,,0,0,0,0,4,"4,994"
169,Mali,4,0,,0,0,2,0,4,0.2
170,Eswatini,4,0,,0,0,0,0,4,3
171,Gambia,3,1,,0,0,0,0,2,1
172,Sudan,3,1,,0,0,0,0,2,0.07
173,Zimbabwe,3,1,,0,0,0,0,2,0.2
174,Nepal,3,0,,1,0,0,0,2,0.1
175,Angola,3,0,,0,0,0,0,3,0.09
176,Antigua and Barbuda,3,0,,0,0,0,0,3,31
177,CAR,3,0,,0,0,0,0,3,0.6
178,Chad,3,0,,0,0,0,0,3,0.2
179,Liberia,3,0,,0,0,0,0,3,0.6
180,Mauritania,3,0,,0,0,1,0,3,0.6
181,Myanmar,3,0,,0,0,0,0,3,0.06
182,St. Barth,3,0,,0,0,0,0,3,304
183,Saint Lucia,3,0,,0,0,0,0,3,16
184,Sint Maarten,3,0,,0,0,0,0,3,70
185,Belize,2,0,,0,0,0,0,2,5
186,Bhutan,2,0,,0,0,0,0,2,3
187,British Virgin Islands,2,0,,0,0,0,0,2,66
188,Guinea-Bissau,2,0,,0,0,0,0,2,1
189,Montserrat,2,0,,0,0,1,0,2,401
190,Nicaragua,2,0,,0,0,0,0,2,0.3
191,Saint Kitts and Nevis,2,0,,0,0,0,0,2,38
192,Somalia,2,0,,0,0,1,0,2,0.1
193,Turks and Caicos,2,0,,0,0,1,0,2,52
194,Grenada,1,0,,0,0,0,0,1,9
195,Libya,1,0,,0,0,0,0,1,0.1
196,Papua New Guinea,1,0,,0,0,0,0,1,0.1
197,St. Vincent Grenadines,1,0,,0,0,0,0,1,9
198,Timor-Leste,1,0,,0,0,0,0,1,0.8
